"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22","Sample 23","Sample 24"
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales",0,4.94001411432604,2.52803409234547,0,0,0,0,3.19343794123618,0,0,3.6154005734714,0,0,0,0,0,0,0.35818964811449,0,0.392344572697526,0,0,0,0.476649291665106
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae",0,4.94001411432604,2.52803409234547,0,0,0,0,3.19343794123618,0,0,3.6154005734714,0,0,0,0,0,0,0.35818964811449,0,0.392344572697526,0,0,0,0.476649291665106
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Alloscardovia",0,0,0,0,0,0,0,0,0,0,0.602566762245233,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.BifidobacteriaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium",0,4.94001411432604,0,0,0,0,0,0,0,0,3.01283381122616,0,0,0,0,0,0,0.35818964811449,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Gardnerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Scardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales",6.28617759349727,39.5201129146083,17.6709583054949,44.3150164598633,141.141218778843,33.7081356993234,88.0503144654088,166.058772944281,24.9312412196522,4.23472474289171,93.3918224803886,11.9506948475433,33.0259430577699,15.2479959050177,19.6720976417328,33.1520499499728,24.2345667295213,29.3715511453882,5.41343149689114,49.4354161598883,48.1730127947244,41.3794956538095,15.415596049203,55.2913178331523
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae",6.28617759349727,39.5201129146083,17.6709583054949,44.3150164598633,141.141218778843,33.7081356993234,88.0503144654088,166.058772944281,24.9312412196522,4.23472474289171,93.3918224803886,11.9506948475433,33.0259430577699,15.2479959050177,19.6720976417328,33.1520499499728,24.2345667295213,29.3715511453882,5.41343149689114,49.4354161598883,48.1730127947244,41.3794956538095,15.415596049203,55.2913178331523
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Atopobium",6.28617759349727,39.5201129146083,17.6709583054949,42.6737195539424,141.086926734178,33.694090642782,88.0503144654088,166.026838564869,24.9312412196522,4.23472474289171,93.3918224803886,11.9506948475433,33.0259430577699,15.2423443127623,19.6661364000232,33.1469488498112,24.2345667295213,28.651589952678,4.87208834720203,48.2583824417957,47.2374328220166,41.3794956538095,14.5087962816028,55.2913178331523
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Collinsella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716379296228979,0.535929718192223,1.17703371809258,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Cryptobacterium",0,0,0,1.64129690592086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Olsenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935579972707796,0,0.906799767600174,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Slackia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.BacteriaU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.BacteriaU.BacteriaUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.BacteriaU.BacteriaUU.BacteriaUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.BacteriaU.BacteriaUU.BacteriaUUU.BacteriaUUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
