"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22"
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Kocuria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.MicrococcaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Micrococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Rothia",14,13.85,13.98,28.5,71.83,8.69,11.81,15.93,4.9,10.99,12.97,33.55,16.65,153.23,26.75,46.62,53.69,81.36,384.27,7,46.86,13.95
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Nocardiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Nocardiaceae.Rhodococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Nocardioidaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Nocardioidaceae.Marmoricola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Propionibacteriaceae",0,0,0,1,0,2,1,4,9,0,0,1,9,0,1,9,1,10,0,49,31,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Propionibacteriaceae.Friedmanniella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Propionibacteriaceae.PropionibacteriaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Propionibacteriaceae.Propionibacterium",0,0,0,1,0,2,1,4,9,0,0,1,8,0,1,7,1,10,0,49,30.99,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Streptomycetaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Streptomycetaceae.Streptomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,1,0,3,0
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,1,0,3,0
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Alloscardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.BifidobacteriaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,2,0
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Gardnerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Parascardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Scardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales",17,50,39,13,95,4,39,88,52,23,3,40,0,26,35,5,209,47,15,7,25,13
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae",17,50,39,13,95,4,39,88,52,23,3,40,0,26,35,5,209,47,15,7,25,13
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Atopobium",17,50,38.99,12,95,4,38.98,88,52,23,3,36,0,26,35,5,209,47,15,5,23,13
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Collinsella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Cryptobacterium",0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Eggerthella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Coriobacteriales.Coriobacteriaceae.Olsenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
