"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22","Sample 23","Sample 24"
"Bacteria.Bacteroidetes.BacteroidetesU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.BacteroidetesU.BacteroidetesUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.BacteroidetesU.BacteroidetesUU.BacteroidetesUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.BacteroidetesU.BacteroidetesUU.BacteroidetesUUU.BacteroidetesUUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia",6676.84904038957,4552.37775727585,5619.72957531899,2946.11229496012,6609.66101694915,6684.75684860505,5542.07748280782,3355.28979849039,3685.51011032304,2494.49807895338,4756.18178248497,3607.06576728499,4131.65616748442,5408.72266763388,4018.75807405137,3092.61849261846,3797.58965804837,4534.63537010823,3415.14684817107,4306.54083167545,6214.9874751108,5671.25314291461,2123.13432191463,5541.69493346064
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales",6676.84904038957,4552.37775727585,5619.72957531899,2946.11229496012,6609.66101694915,6684.75684860505,5542.07748280782,3355.28979849039,3685.51011032304,2494.49807895338,4756.18178248497,3607.06576728499,4131.65616748442,5408.72266763388,4018.75807405137,3092.61849261846,3797.58965804837,4534.63537010823,3415.14684817107,4306.54083167545,6214.9874751108,5671.25314291461,2123.13432191463,5541.69493346064
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae",5916.97507877399,2605.28132439564,5522.54808607884,1225.73368353239,6150.63336306869,5269.47060760409,2942.55803412597,2272.05852134961,1982.28412116025,723.641390119399,3198.16871233811,2964.22329134014,3446.40121744399,2162.2384593935,2462.63712202492,1572.01631701632,3242.7731442869,3240.14061636319,1582.39085861943,1681.42559076132,6214.94701008414,5393.16101780147,1363.99178695826,4791.97851644089
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides",5916.97507877399,2605.28132439564,5522.54808607884,1225.73368353239,6150.63336306869,5269.47060760409,2942.55803412597,2272.05852134961,1982.28412116025,723.641390119399,3198.16871233811,2964.22329134014,3446.40121744399,2162.2384593935,2462.63712202492,1572.01631701632,3242.7731442869,3240.14061636319,1582.39085861943,1681.42559076132,6214.94701008414,5393.16101780147,1363.99178695826,4791.97851644089
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.BacteroidalesU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.BacteroidalesU.BacteroidalesUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae",557.353193927241,302.153562281047,94.6353075604647,1088.57128698152,446.28902765388,281.53772982817,1824.93627577604,895.628707242565,766.181866240395,193.275792635807,897.987913674032,395.360083325067,673.784166072336,2876.54012530746,923.753950355077,1023.22066822067,221.801501251043,819.806683254793,609.00445646984,1047.42669060443,0,266.806798752891,200.004662576263,621.941039565555
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Barnesiella",0,0,0,505.121165568166,42.0874219446922,173.264931971268,361.060478309397,132.234688146413,47.9083934876052,17.3710504261132,130.916140056397,38.4441027675826,414.644629912771,293.141399111151,406.477487537679,99.0481740481741,0,0,1.58106374811583,481.399712099892,0,0,155.296600291152,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Butyricimonas",15.9810942423374,103.849057090691,0,20.7582139848358,0,17.0447847348973,106.510836773386,24.9318483814847,0,24.3804216506852,176.646551556746,8.33250669576431,0,13.7584116196949,0,15.1515151515151,0,47.9125695249748,106.152456207694,117.137334821356,0,0.704012873378256,4.21876807827602,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Dysgonomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Odoribacter",50.1289028931538,67.7197917405919,0,29.111452500124,24.9776984834969,7.11385005630104,39.1568907452446,80.2997301332895,0,12.1902108253426,55.0411111998084,6.94375557980359,0,12.9335978659718,72.0267419879866,88.9588189588189,0,74.0044253230829,177.431397515237,242.89145518948,0,0,3.6264482048218,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Parabacteroides",491.142938985964,130.539551868077,94.6086459721958,516.860102086329,374.540588760036,24.1870901914235,388.634912589374,548.155454184304,541.41991352889,127.951500375502,526.737921764664,341.16754290249,251.395504712109,1493.26268436469,359.811842671864,404.370629370629,221.759799833194,697.324221344884,322.569772776212,181.838031927799,0,266.095745750779,36.264482048218,621.503252372143
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.PorphyromonadaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Porphyromonas",0,0,0,0,0,0,0,0,0,0,0.724920657865497,0,0,0,0,0,0,0,0,0,0,0,0,0.249806051202483
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Tannerella",0,0,0,2.30338470687349,0,0,1.4243521573635,0,0,0,0,0,0,1.77917940593669,0,0,0,0,0,0.723793811765087,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae",1.98510455456889,0,1.33307941344506,223.872342534318,0,702.620742360742,0,24.2222496198578,0,79.1449437835367,10.4660419979331,155.619978176768,0,1.29551898490535,0,14.2346542346542,326.922435362802,0,607.1858235575,625.458941886231,0,0,2.41763213654786,0.321656621113564
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Hallella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Paraprevotella",0,0,0,207.623767282819,0,412.859401867487,0,0,0,50.2846196545382,0,110.895248487253,0,0,0,0,326.501251042536,0,0,160.411308975043,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella",1.96505299341163,0,1.33307941344506,8.11734972000597,0,0,0,15.7070644803353,0,16.715826594251,9.68826254209826,42.1694276361472,0,1.29551898490535,0,11.0800310800311,0.417014178482068,0,586.558266470683,246.971387904961,0,0,1.8132241024109,0.250641522945635
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.PrevotellaceaeU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Xylanibacter",0,0,0,1.13781654194955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720899532819654,1.03110291620166,0,0,0,0
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae",200.134631910627,1629.74599836128,0,371.982754348581,0,177.632835905837,704.354935398504,147.385580624392,911.338791795943,1494.61127376819,637.046681869864,87.3559170717191,0,264.907722033447,605.892141621599,390.979020979021,0.417014178482068,470.368131768997,579.70152886875,604.266744302651,0,9.85618022729559,555.094382631731,123.968132720654
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes",198.510455456889,1604.81680526971,0,205.028990534715,0,176.423481396266,699.732187678198,143.358128193537,907.506120316935,1467.36615257355,618.833050340993,80.4191052474953,0,262.869438830529,597.140417332662,384.972804972805,0.417014178482068,459.543886640871,569.060068719514,501.633590502531,0,9.85618022729559,538.690748585254,122.384913767381
